human	mouse
221357	100042314
221357	14859
221357	100042295
221357	14858
57576	16559
1234	12772
1234	12774
8110	70127
65109	68134
137492	52348
51295	26940
51765	70415
27202	12273
27202	319430
27089	22272
26018	16206
3039	15122
3039	544763
3039	216635
3039	110257
100271849	105980076
219432	258768
219432	258785
10563	55985
1581	13122
2939	14857
2939	100042314
2939	14859
2939	100042295
2939	14858
54206	74155
4946	18245
128434	277432
84439	214305
84439	78772
5518	51792
9968	59024
64328	57258
56997	67426
135948	258016
135948	258988
135948	258207
392617	207393
392617	243312
101060301	15381
401258	442827
1964	666806
1964	100503047
1964	100861908
1964	66235
29998	243842
219428	258453
219428	258748
219428	258450
2298	17301
2298	15229
2298	14237
2298	15221
137872	76187
343563	100502887
343563	258879
343563	258198
343563	259148
343563	258495
343563	258261
57552	639634
57552	67758
57552	320024
57552	229333
11179	246196
23070	74157
54777	212124
168667	73230
8574	110198
81030	58203
51523	67393
282618	624672
282618	330496
26290	233733
26290	231605
26290	212996
83742	277010
6155	19942
114987	71354
5881	19353
5881	170758
5881	19354
25932	29876
8899	19134
4626	17885
9810	233900
2297	17301
2297	15229
2297	14237
2297	15221
23397	215387
908	12466
200150	319455
7743	230162
89795	260315
5507	53412
54514	13206
54514	13206
161394	238333
7704	235320
3004	16904
79586	74241
153364	72852
123036	74413
9255	13722
259232	338370
26146	74019
8483	214425
1182	12725
79627	70155
57699	240058
57699	240058
116085	20521
922	11801
1767	110082
26097	66511
54020	224674
11018	17083
9583	100862375
9583	67464
10262	107701
3176	140483
84643	73470
7462	56743
29785	74134
5007	76303
6046	14312
6046	14312
84552	93737
5161	18597
5161	18598
83468	74782
133060	21906
11338	22185
140459	72323
9370	11450
9941	208194
10204	68051
10204	621832
57834	64385
57834	72054
57834	677156
57834	106648
57834	170716
57834	70101
57834	631304
54977	208638
81691	434234
56915	27998
246181	110198
84662	83396
1808	22240
84925	224132
130502	75516
7984	213649
7984	54324
10809	56018
4838	18119
84734	230766
374378	233733
374378	231605
374378	212996
163051	619310
163051	100039123
64764	208647
85293	66708
85293	69473
85293	66380
56936	380768
127074	100502887
127074	258879
127074	258198
127074	259148
127074	258495
127074	258261
10212	53817
10212	68278
10857	53328
975	12520
128876	71405
10858	13116
4632	17901
23517	72198
100130705	668210
441608	258684
441608	258121
441608	258686
441608	258568
441608	258700
441608	667271
441608	258698
441608	258693
441608	258699
441608	258692
441608	258695
6871	217031
56109	93714
1809	22240
1592	13082
23650	72169
112574	170625
64949	99045
347454	245381
8703	57370
54813	66689
3104	100090
197342	193838
905	72949
4131	17755
441509	14657
2938	14857
2938	100042314
2938	14859
2938	100042295
2938	14858
343069	15381
282617	624672
282617	330496
222658	66989
222658	66989
23729	74637
4595	70603
55172	109065
56181	76824
5062	224105
5715	67151
23404	227715
140701	241850
388646	229900
388646	17472
388646	76074
388646	236573
388646	626578
388646	55932
3695	16421
5074	114774
165904	22437
55609	208968
55609	235469
29969	16543
8787	19739
6121	19892
338	238055
23133	320595
23133	74042
29991	16821
729665	73936
10500	20360
389730	78124
5831	69051
282996	73713
282996	73713
128272	213649
128272	54324
170384	73068
80212	215707
158427	272027
831	12380
831	12380
8685	17167
55181	74133
148741	213121
3596	16163
728	12273
728	319430
116496	63913
222487	54672
54677	74114
22977	110198
27161	239528
353299	240816
353299	240816
10844	74237
23380	14270
23380	117600
3581	16199
2009	68519
219855	56857
3077	15216
161176	212073
404220	66761
54165	114893
54165	102323
80207	403187
55667	329877
57107	71365
65243	381549
114781	224671
205327	73467
79413	72114
64207	238330
1081	12640
26291	56636
49856	59002
23097	78334
23097	78334
23097	264064
3181	53379
6128	19988
4634	17897
1828	211924
1828	225256
1828	13510
6921	67923
25974	67096
286380	17301
286380	15229
286380	14237
286380	15221
29781	52683
2983	54195
355	14102
5160	18597
5160	18598
154214	268291
29906	225742
5605	26395
5605	26396
10411	223864
11113	12704
51374	381629
6949	21453
8556	229776
27436	78798
219938	75469
6013	19773
57563	246293
391123	240916
81501	75766
55258	232078
5578	18751
5578	18750
23351	219094
23351	219094
5210	270198
51164	67665
5269	20719
5269	20708
5269	97848
11176	116848
353116	75695
6530	20538
111	224129
3958	16854
112268381	213649
112268381	54324
3204	15415
3204	15404
131377	72330
3363	15566
3397	15901
10910	67955
22944	16588
51768	67623
64446	432611
2165	14060
11077	74377
353497	272158
220972	71779
22849	208922
56269	210145
645961	78124
6660	20678
6660	20678
3568	16192
55095	233033
132320	67161
1731	54204
6152	68193
66002	208285
8835	216233
54751	74202
26065	67070
149628	226691
149628	623121
149628	100033459
149628	383619
149628	100862473
390190	258690
282616	338374
29992	170741
4051	208285
222236	242864
401258	442827
1964	13664
54777	212124
55187	230895
282618	338374
55728	333789
55728	333789
140739	67921
1767	13417
6046	14312
6046	14312
256356	235533
57834	208285
2925	14829
2057	13857
1808	12934
441608	258690
1809	12934
282617	338374
9618	22032
388646	100702
285555	381476
285555	381476
29991	227627
29991	383678
5831	209027
282996	73713
138639	218232
2009	68519
114781	224671
205327	665936
23097	78334
6921	100503053
11113	12704
5578	18751
9100	22224
10908	241274
10908	241274
10908	50767
221895	231986
23252	73162
285237	67609
3013	319165
3013	319166
3013	319167
3013	15267
3013	319192
3013	319176
3013	319173
3013	319168
3013	319172
3013	319170
3013	319162
3013	319171
3013	319164
3013	319191
9725	208795
9640	233410
92815	319165
92815	319166
92815	319167
92815	15267
92815	319192
92815	319176
92815	319173
92815	319168
92815	319172
92815	319170
92815	319162
92815	319171
92815	319164
92815	319191
286257	227622
286257	227622
23349	230085
6091	19876
6091	19876
11255	99296
201164	194908
10201	54369
3304	193740
8846	211064
3857	107656
644	109778
3305	193740
8148	70439
81563	69399
5683	19166
201799	320782
63036	13706
9429	26357
85508	170729
8335	319165
8335	319166
8335	319167
8335	15267
8335	319192
8335	319176
8335	319173
8335	319168
8335	319172
8335	319170
8335	319162
8335	319171
8335	319164
8335	319191
8335	665433
5506	140491
10208	231915
3303	193740
27072	218035
3133	630294
3133	15015
3133	15006
3133	15006
3133	547349
3133	547349
3133	547349
3133	15043
3133	110558
3133	14991
3133	14963
3133	15033
3133	15040
3133	667803
3133	15013
3133	15007
3133	100529082
3133	14964
3133	14972
120775	258594
54522	320816
5226	110208
947	12490
5781	19247
285877	195236
3012	319165
3012	319166
3012	319167
3012	15267
3012	319192
3012	319176
3012	319173
3012	319168
3012	319172
3012	319170
3012	319162
3012	319171
3012	319164
3012	319191
3012	665433
723790	319165
723790	319166
723790	319167
723790	15267
723790	319192
723790	319176
723790	319173
723790	319168
723790	319172
723790	319170
723790	319162
723790	319171
723790	319164
723790	319191
359	17339
170261	66995
170261	72693
3135	630294
3135	15015
3135	15006
3135	15006
3135	547349
3135	547349
3135	547349
3135	15043
3135	110558
3135	14991
3135	14963
3135	15033
3135	15040
3135	667803
3135	15013
3135	15007
3135	100529082
3135	14964
3135	14972
84071	213402
1670	100041811
1670	68009
1670	100038927
1670	100041759
1670	66298
1670	100041787
3106	630294
3106	15015
3106	15006
3106	15006
3106	547349
3106	547349
3106	547349
3106	15043
3106	110558
3106	14991
3106	14963
3106	15033
3106	15040
3106	667803
3106	15013
3106	15007
3106	100529082
3106	14964
3106	14972
9210	12155
9889	223773
55294	50754
55294	103583
221294	319638
60598	241769
7322	56550
7322	66105
23291	50754
23291	103583
9125	58184
79969	73242
23082	226169
9332	93671
3105	630294
3105	630294
3105	630294
3105	15015
3105	15015
3105	15015
3105	15006
3105	15006
3105	15006
3105	15006
3105	15006
3105	15006
3105	547349
3105	547349
3105	547349
3105	547349
3105	547349
3105	547349
3105	547349
3105	547349
3105	547349
3105	15043
3105	15043
3105	15043
3105	110558
3105	110558
3105	110558
3105	14991
3105	14991
3105	14991
3105	14963
3105	14963
3105	14963
3105	15033
3105	15033
3105	15033
3105	15040
3105	15040
3105	15040
3105	667803
3105	667803
3105	667803
3105	15013
3105	15013
3105	15013
3105	15007
3105	15007
3105	15007
3105	100529082
3105	100529082
3105	100529082
3105	14964
3105	14964
3105	14964
3105	14972
3105	14972
3105	14972
55584	231252
55584	231252
9479	19099
55612	241639
389124	74267
4342	17451
94026	195236
3300	56812
145447	100504285
79590	67707
80310	71785
79628	225608
7738	193452
4209	17261
80820	67484
340146	76157
23474	66071
10330	56530
79863	68731
26292	56309
3134	630294
3134	15015
3134	15006
3134	15006
3134	547349
3134	547349
3134	547349
3134	15043
3134	110558
3134	14991
3134	14963
3134	15033
3134	15040
3134	667803
3134	15013
3134	15007
3134	100529082
3134	14964
3134	14972
51303	66120
3107	630294
3107	15015
3107	15006
3107	15006
3107	547349
3107	547349
3107	547349
3107	15043
3107	110558
3107	14991
3107	14963
3107	15033
3107	15040
3107	667803
3107	15013
3107	15007
3107	100529082
3107	14964
3107	14972
6125	100503670
4642	338367
4642	338367
4642	338367
4642	246177
85235	319165
85235	319166
85235	319167
85235	15267
85235	319192
85235	319176
85235	319173
85235	319168
85235	319172
85235	319170
85235	319162
85235	319171
85235	319164
85235	319191
4072	17075
6564	56643
148109	76415
55159	234736
56654	18146
1520	13040
1520	13040
51754	242409
5992	71137
8969	319165
8969	319166
8969	319167
8969	15267
8969	319192
8969	319176
8969	319173
8969	319168
8969	319172
8969	319170
8969	319162
8969	319171
8969	319164
8969	319191
8334	319165
8334	319166
8334	319167
8334	15267
8334	319192
8334	319176
8334	319173
8334	319168
8334	319172
8334	319170
8334	319162
8334	319171
8334	319164
8334	319191
122616	217887
11174	108154
11174	108154
10777	74100
8906	11766
255520	244548
93649	214384
374920	321008
254956	75495
114131	83428
56649	214523
54460	66292
9536	64292
7323	56550
7323	66105
7597	109929
57190	74777
7296	50493
7296	50493
128602	72221
90701	66286
80821	114874
126321	73822
54906	105203
64005	338367
64005	338367
64005	338367
64005	246177
57586	80976
1838	13527
1838	13528
23334	230676
132141	74267
23378	101867
140731	70065
3013	665433
3013	319169
92815	665433
92815	319169
80003	270109
6091	19876
3304	15511
3304	15482
3305	15511
3305	15482
8398	53357
79152	338521
29937	66208
85508	545474
8335	319169
1794	94176
1794	68813
1794	330662
727800	68846
3303	15511
3303	15482
55153	231452
10590	214189
3133	15033
3133	15040
3133	15040
3133	15013
3133	14972
3133	14972
3133	110557
3133	15018
3133	69717
3133	69717
3133	667977
90780	68911
285877	432536
516	11951
3012	319169
374768	74288
723790	665433
723790	319169
359	11827
51127	56631
51127	56631
3135	15033
3135	15040
3135	15040
3135	15013
3135	14972
3135	14972
3135	110557
3135	15018
3135	69717
3135	69717
3135	667977
5080	18508
1670	503491
1670	13236
1670	13237
1670	100041952
1670	626708
1670	100041895
1670	23855
54928	242291
3106	15033
3106	15040
3106	15040
3106	15013
3106	14972
3106	14972
3106	110557
3106	15018
3106	69717
3106	69717
3106	667977
5740	19223
55319	66282
1413	12959
177	11596
9131	26926
3105	15033
3105	15033
3105	15033
3105	15040
3105	15040
3105	15040
3105	15040
3105	15040
3105	15040
3105	15013
3105	15013
3105	15013
3105	14972
3105	14972
3105	14972
3105	14972
3105	14972
3105	14972
3105	110557
3105	110557
3105	110557
3105	15018
3105	15018
3105	15018
3105	69717
3105	69717
3105	69717
3105	69717
3105	69717
3105	69717
3105	667977
3105	667977
3105	667977
51097	109232
1339	12862
151636	209200
94026	432536
2557	14397
3134	15033
3134	15040
3134	15040
3134	15013
3134	14972
3134	14972
3134	110557
3134	15018
3134	69717
3134	69717
3134	667977
3107	15033
3107	15040
3107	15040
3107	15013
3107	14972
3107	14972
3107	110557
3107	15018
3107	69717
3107	69717
3107	667977
27253	219228
85235	665433
85235	319169
7341	22218
5992	71137
8969	665433
8969	319169
8334	665433
8334	319169
11174	224697
11174	224697
51728	67005
26206	433700
79133	69487
1284	12827
23461	217265
3995	60527
80005	94176
80005	68813
80005	330662
26001	70510
10894	114332
8848	21807
23042	94184
1838	13528
80313	76612
80313	76612
834	12362
5318	67451
6729	24067
6729	665155
6729	100101806
60482	63993
2813	67133
7328	22214
2251	14177
5376	18858
10554	55979
140460	117589
646	12173
148867	66500
27036	83382
3316	69253
54433	68147
29113	69542
54873	114301
3269	15465
63974	11922
79148	118453
79148	118453
6348	20302
256297	19213
6272	20661
1046	12592
3281	68196
22802	99709
22802	23844
22802	99663
91404	228071
57168	72898
80185	234138
96626	110829
11336	211446
219469	258840
219469	258587
219469	258842
219469	258764
245938	654457
3953	16847
6492	20464
3125	14969
3125	381091
3125	381091
348235	66140
26167	93879
26167	93881
26167	93875
26167	93877
26167	93882
26167	93883
3987	110829
10460	21335
54462	72972
54462	72972
56978	77630
55288	59040
23387	70661
79174	76737
100289635	675812
100289635	675812
10864	108114
139818	75974
139818	105445
146713	52897
55515	241118
133690	75568
51043	22724
54862	212139
10312	27060
388228	104175
57491	11624
100500938	100503036
201931	73067
57124	70445
23584	57276
3126	14969
3126	381091
3126	381091
118856	214766
57092	76302
26015	68925
91949	233824
201181	278304
220388	70054
91300	109284
79363	76166
3123	14969
3123	381091
3123	381091
1748	13394
165257	226359
26996	71862
9610	225870
23539	57274
7184	22027
57864	30936
9904	74111
100288695	110829
100288695	110829
6122	27367
123720	434204
728276	102635420
84826	67158
8694	13350
22888	140629
10249	107146
715	50909
715	667277
5462	18999
6425	54612
6425	20377
10023	212398
10023	14296
10023	27412
84271	73826
137886	68053
26692	18341
84966	230868
143689	330890
157638	399603
157638	105005
50617	140494
8890	13667
91749	215928
91749	215929
91749	72045
91749	100041085
80342	215243
26585	23892
22839	228836
64219	18744
196541	433294
25818	68668
9213	19775
64112	64113
6907	21372
10747	17175
26168	80886
219487	257936
219487	258154
1460	13001
126410	320997
392255	242316
54579	394433
54579	394436
54579	22236
23433	104215
51237	69816
8715	329540
8715	319211
3030	97212
136051	330301
97	66204
55251	245867
7220	22063
92691	271711
4763	18015
23637	227800
23637	29809
139596	331487
9873	207278
9873	207278
23264	20286
10938	13660
10938	57440
2737	14634
222545	210198
100506658	18260
56986	69185
26496	277935
26496	258136
26496	258720
26496	258303
26496	258721
26496	258719
1381	12903
1381	12904
9076	12737
3854	16688
3854	110308
3854	16687
57463	229715
49854	114565
118788	83490
9321	109181
728118	328250
54505	218629
9702	74360
151473	71781
10856	20174
125111	353155
65012	216441
10817	107971
25851	70381
93210	320655
339804	67358
729438	80909
54958	69094
79689	117167
92822	57247
10998	26459
10454	66513
219931	233979
219931	233979
3772	16516
3772	16516
55684	227624
140688	329540
140688	319211
728130	328250
1112	71375
23466	494448
4627	17886
4627	17880
80301	102595
389856	54651
389856	216825
3169	15375
6760	268996
6549	226999
6570	110877
53349	217695
7456	215280
56121	93893
643904	320040
5069	23850
5069	18491
134860	503558
121130	258933
9910	227800
9910	29809
140886	93728
2277	14205
4174	17218
645104	624224
26189	258706
26189	404316
26189	404316
7097	24088
1512	13036
4919	26563
4919	26563
93973	56249
57528	243043
57528	383348
10066	24044
1184	12728
11237	51902
22982	208440
55689	208146
81544	233552
57728	213081
3980	16882
10516	23876
23499	11426
9244	12931
3156	15357
9391	26371
23022	72333
54934	69612
92293	208151
92293	208213
92293	243274
390883	258074
2359	14294
2359	14290
2359	14291
2359	321020
2359	14289
2359	14293
474170	237954
474170	380730
8263	14070
881	442829
8649	56692
9884	237954
9884	380730
389763	72219
389763	238683
389763	238662
389763	238663
6349	20302
83541	73847
85440	76088
85440	67299
6880	108143
2214	246256
56136	192164
9097	59025
149297	241303
149297	226610
320	319924
2028	13809
30009	57765
4745	54003
4745	338352
3912	16777
22794	192160
283008	328250
10232	56047
7516	57434
2358	14294
2358	14290
2358	14291
2358	321020
2358	14289
2358	14293
79736	68550
8388	259025
8388	258344
8388	259009
8388	259010
8388	193053
8388	18321
8388	18321
8388	259007
8388	258343
8388	258925
8388	259011
8388	259027
8388	258236
8388	259026
8388	258923
8388	258924
8388	258435
8388	259008
23732	230235
2760	14667
83547	280408
291	11739
114795	208151
114795	208151
114795	208213
114795	208213
114795	243274
114795	243274
201633	100043314
148753	329274
26122	227867
4736	19896
51434	56317
1723	56749
29802	22364
56624	54447
440279	208898
60676	23850
60676	18491
28969	66882
28969	66912
93436	76813
54801	230376
474384	14070
3337	81489
6405	20350
6405	20350
9023	12642
140685	72147
6141	19899
3890	16680
83699	212531
729262	328250
9785	64340
2560	14401
2560	14400
2560	14402
57003	67163
6917	21400
6917	21399
7433	22354
10730	27377
4990	20476
390064	259075
10403	67052
340359	268807
10505	20355
647174	319433
8405	20747
79654	76608
23630	66240
93974	11983
50813	26894
7062	99681
3904	52855
8178	13716
65997	68939
962	12506
4519	17711
506	11947
108	210044
108	11513
645426	224019
54754	328250
9858	241289
151011	103080
3842	212999
3842	238799
157680	666173
390259	244813
2215	246256
441457	328250
1961	13656
23149	74015
83479	67997
245936	266620
80230	216724
160897	58245
57325	228714
9043	70834
9043	70834
100526767	66700
89874	217593
10231	53901
10484	20334
10484	27054
25963	211499
126075	67119
6138	66480
93589	12294
93589	319734
3071	105855
26747	27275
343171	257931
343171	404346
55702	72886
91647	246782
79817	214944
2192	14114
51735	192786
51735	76089
55102	76559
23001	72145
113	210044
113	11513
115704	14020
115704	213027
2889	107746
51107	226548
55686	381269
65065	269198
1819	13495
65980	105246
196743	212503
283742	68215
5097	75599
79763	67441
79763	664994
9289	14766
4597	192156
10979	218952
1729	13367
84909	72061
9693	192786
9693	76089
114088	330863
79932	100317
10869	71472
79750	241494
80835	110326
80835	110326
3781	140492
8632	69926
7544	22764
121256	208151
121256	208213
121256	243274
79886	67770
390152	258840
390152	258587
390152	258842
390152	258764
254013	320204
254013	320204
189	11611
3026	226243
140679	22348
3064	15194
7580	232337
4753	54003
4753	338352
55620	106766
9746	232370
11251	14764
388960	100038967
388960	330513
388960	627975
388960	434172
388960	100861679
388960	100039269
388960	100861663
388960	620018
388960	243944
388960	434171
388960	100861686
388960	233164
55238	234595
267020	27425
10025	216154
84129	102632
7543	22764
7874	252870
8938	545192
8938	70450
2050	13846
285423	71831
4857	664883
4857	384569
6396	110379
51614	66366
80122	22625
1130	17101
1657	240283
54960	237221
545	245000
283383	243277
283383	243277
81704	76088
81704	67299
8065	75717
1179	99709
1179	23844
1179	99663
27145	70598
56899	77531
8829	18186
51031	67201
56243	208618
56243	208618
56243	208618
56243	208618
734	209212
6687	234847
818	12325
6446	20393
6446	20393
8427	101095
91624	68810
373856	24110
23429	56353
23429	67057
5475	237178
83706	108101
146439	212733
9752	12943
9752	12942
9752	192161
9752	353235
9752	12941
9752	12936
9752	103611159
347732	76856
768239	76943
84274	52064
4017	94352
23173	75624
23218	235627
7410	22325
6337	20276
51129	57875
63928	70261
158787	66611
54865	66614
54869	67425
160518	320560
283219	622320
222950	243300
5570	18768
64343	27215
10062	22259
124512	74319
11005	72432
105375355	100647
7220	22063
10817	107971
85440	76088
348094	330963
728586	75444
535	11975
114088	94090
388960	628304
388960	100043467
81704	76088
56899	77531
4017	100862072
160518	320560
155061	69228
10291	67465
22847	668501
387	11853
387	11848
1408	12952
1408	12953
23359	70638
83440	72141
8491	225028
7436	22359
3586	16153
9419	56724
56681	20224
148156	72230
119678	258246
119678	259054
495	11944
84946	353258
3211	15407
83939	229317
8309	93732
4010	16917
84830	109254
90874	242109
25875	68614
55365	66058
83723	68952
5494	19042
340351	76223
9847	74741
78989	71693
123169	235497
11282	103534
8943	11776
7056	21824
1632	13177
29093	216767
5469	19014
3748	16504
25814	54138
51309	78248
6582	20517
6582	20518
10493	26949
10728	56351
120776	258776
120776	384732
54814	67369
5569	18767
9325	56404
9325	56404
1285	12828
1285	12828
440145	76789
1937	67160
7431	22352
52	11431
221711	637277
55170	99890
390084	244187
390084	259047
8531	56449
112398	112406
7001	21672
7001	18477
5068	18489
5068	19695
5068	30053
5068	19694
64983	75398
1796	13448
1267	12799
221044	68527
114823	232798
114823	232798
9031	22385
391195	257917
5295	18708
754	108705
10072	75221
1762	13401
7150	21969
2958	235459
25778	213452
3611	16202
10128	72416
3178	15382
3178	545091
85315	74229
51185	58799
57506	228607
374308	74675
284369	100039946
79782	320352
26354	30877
30844	98878
6231	27370
3456	15977
54474	66809
378807	329954
5885	19357
11057	54608
10343	18766
10343	76645
4670	76936
5730	19215
374618	21778
284383	404315
3770	211480
64221	19649
390174	258562
390174	258757
390174	258561
390174	257915
199	108897
199	11629
51231	101568
6461	230126
23211	330474
79640	328573
9764	234797
5250	18674
8225	107999
9671	320916
80731	210417
80731	330267
55094	67471
23195	100019
1145	11448
1145	11448
4440	76626
4440	76626
4440	17690
57639	75172
51069	27398
55388	70024
84548	236848
84548	226351
3320	15519
3320	15516
56128	93887
7840	236266
3068	15191
54496	214572
60343	66294
220002	225912
83543	108897
83543	11629
23217	103406
57704	230101
2959	229906
84336	76547
84986	71085
120796	244187
120796	259047
3361	15563
90673	105651
440073	243621
2765	625599
2765	15202
3990	16891
222642	70026
222642	70026
53905	99439
79690	330217
654	12161
25840	668178
25840	70152
7916	53761
7916	53761
388341	192976
388341	192734
1357	74649
1357	109697
57558	244144
340273	77706
23670	83921
257364	235406
150946	242915
5818	58235
80314	13831
57161	93834
57161	93834
284541	230639
284541	13118
284541	13119
284541	277753
284541	666168
284541	100040843
6257	20182
79841	76223
26751	24057
79139	67819
22924	100732
1282	12826
57147	240880
6574	20515
9313	30800
79134	236848
79134	226351
27316	19655
27316	19656
3703	16430
2642	14527
203069	71843
4322	17386
51205	66659
23288	74239
6165	57808
79646	211347
2250	14176
26010	67198
26010	67198
119695	259055
119695	259092
100526842	319195
643596	329360
51594	71169
57128	380840
55226	98956
129852	75087
333	11803
57646	235323
829	12340
283571	73422
8928	14106
3122	100504404
3122	100504404
51527	66787
90580	69773
3476	18518
221981	210417
221981	330267
1212	74325
1579	230639
1579	13118
1579	13119
1579	277753
1579	666168
1579	100040843
347541	629542
347541	74271
54897	69743
54897	69743
85463	244871
9388	16891
2623	14460
54360	231162
23416	16512
55051	217827
1107	216848
51390	109254
339541	381544
7469	24116
201134	76380
54875	338349
133686	68646
51400	72590
1407	12952
1407	12953
4552	210009
4731	78330
5308	18741
8480	66679
25926	68979
7073	21843
2081	78943
23526	70719
79837	117150
64377	68947
5433	69241
23467	73340
944	21949
55613	54384
3938	226413
11047	56436
2893	14802
60528	68626
170082	245695
204962	242259
204962	242259
84899	70551
91	11479
5137	18575
5137	18573
51596	77996
51596	67675
1160	76722
1160	76722
5082	67466
10215	50913
79230	72230
79630	229600
127002	72522
55250	58523
390443	328401
6829	20924
1992	66222
1992	282663
255877	12029
5691	26446
49861	621628
2820	14571
29966	94186
55501	59031
5426	18973
4352	17480
79948	216152
79948	216152
100996747	27370
9108	54384
164153	67591
653275	12627
5148	18588
5148	78600
7249	22084
134728	65099
285220	13840
3818	16621
3818	109821
140894	70873
2160	16621
2160	109821
10322	232187
23358	329908
23358	329908
51409	69536
8732	24018
23040	17933
155051	214301
51076	66388
90488	103266
1849	235584
79092	170720
84830	66253
387707	668310
11138	54610
23157	52398
23157	56526
340351	76223
340351	271813
7288	56734
7447	26950
29093	216767
3748	16502
9015	21339
375791	67859
5496	14208
219956	258097
23057	226518
9149	13549
403313	74411
84331	68241
57452	108760
391195	258531
30818	56461
114801	77220
84636	213439
7799	110593
284369	74054
25927	380686
5015	18424
284383	258532
199	11629
84376	320191
6939	21407
1278	12843
114826	319822
79684	235184
33	11363
4440	76626
4440	17690
587	12036
50615	60504
83543	11629
7306	22178
7161	22062
3990	15450
53905	214593
54538	74144
493	381290
1815	13491
4580	17827
525	110935
28978	75712
28978	75712
57161	67245
284541	13117
284541	435802
79841	76223
79841	271813
7268	72354
51109	17252
115111	208890
26998	59083
119695	259056
201163	216805
375449	328329
26278	50720
11280	24046
23596	13603
1579	13117
1579	435802
347541	212952
23604	13144
4610	16918
9388	15450
8912	58226
54476	108086
51390	66253
54875	338349
140710	320706
54760	18551
7073	21841
204962	242259
79774	66790
55764	81896
55752	52398
55752	56526
118472	69752
2273	14199
5293	18707
5293	18707
1992	380839
145508	75216
145508	75216
285220	13840
5741	19226
10325	245670
6191	20102
10293	22036
81050	258997
81050	257881
81050	433031
81050	258994
81050	258993
81050	258479
81050	258036
57192	94178
11078	110253
166929	74442
136371	117590
78990	68149
64101	192198
5993	53970
6192	20102
64396	23885
5445	18979
5445	330260
80224	76826
80224	76826
83740	100039319
83740	100042840
83740	624153
83740	68231
83740	100042931
83740	333452
83740	236663
11339	70645
156	110355
156	320129
6502	27401
6502	27401
4607	17868
81627	98685
81627	98685
153201	246049
153201	215335
2099	13982
146310	67504
1527	385380
253430	69718
25854	212326
57722	56741
134218	78244
51703	433256
153657	75777
930	12478
55600	16429
139285	72345
3376	105148
5021	18430
94134	75415
29789	67059
6143	19921
8545	106143
91768	63955
219431	329460
3598	16165
57700	226252
8939	320267
91369	71452
11096	23794
1719	13361
92196	76747
93081	75623
56271	328660
56271	406217
10797	17768
55110	66441
55110	17149
140032	20102
54978	74919
741	29805
6240	20133
286753	237858
3445	15965
3445	230396
3445	15969
3445	15968
3445	242517
3445	15970
3445	15964
3445	15972
3445	15967
3445	15962
3445	15974
3445	230398
3445	404549
3445	242519
63901	107373
63901	107373
9953	54710
9953	54710
9953	15478
9953	15478
5444	18979
5444	330260
666	51800
9283	171469
11250	93690
159371	240660
7177	17229
219873	258853
27031	74025
55175	217194
6423	20319
5366	58801
8050	27402
729974	192658
647219	226439
257194	268890
257194	330908
257194	330908
7408	22323
55364	16210
27079	271842
123688	235386
285498	671564
1933	55949
51686	53814
90806	52477
23581	12365
23583	71726
2056	13856
1215	17227
1215	17228
1215	17232
1215	17224
5133	18566
2776	14682
2776	14672
2242	14159
29088	27395
83716	78892
9124	54132
85438	70977
283869	381073
54617	68142
26100	74781
283375	72002
5145	225600
10738	192658
4818	72310
145226	77974
81575	381823
5055	18788
80759	368204
80759	433278
80759	98582
221302	72580
27445	26875
8940	21976
402135	259002
402135	259003
142683	16429
6662	20682
84960	77058
130271	213556
2519	66848
10055	56459
114818	208439
4036	14725
377677	71934
81875	229504
1482	18091
1482	18089
90196	66460
152573	330096
3421	15929
3421	243996
1203	211286
79890	217835
55829	109815
160762	330188
11284	59047
8419	107993
57596	380785
131616	66079
51271	67123
2700	14611
65999	243371
64778	72007
4716	68342
8878	18412
4012	240028
646498	434439
116448	50914
6950	21454
7465	22390
79005	69269
55784	78771
55784	244049
55784	244049
6626	53607
100129128	368204
100129128	433278
100129128	98582
11228	71323
611	12057
6607	20595
22838	105239
26658	258858
26658	258305
8662	27979
2073	22592
285755	73075
91646	71981
5738	19221
642987	381107
642987	381107
23428	50934
1302	12815
155185	231842
200014	319965
79772	78771
79772	78771
79772	244049
79772	244049
79772	244049
79772	244049
3439	15965
3439	230396
3439	15969
3439	15968
3439	242517
3439	15970
3439	15964
3439	15972
3439	15967
3439	15962
3439	15974
3439	230398
3439	404549
3439	242519
1013	12555
388962	78653
93166	225518
221393	78249
10437	65972
79865	328833
50616	116849
27010	29807
7871	83997
9326	448850
10521	67040
8218	67300
26256	71132
55161	67878
3992	76267
8021	227720
8021	227720
8021	227720
8021	227720
8021	227720
8021	227720
441381	378937
6434	20462
5178	18616
27179	54448
2068	13871
8994	29806
140458	76294
286075	69020
7976	14365
4598	17855
221785	666311
128497	75642
51622	231874
55079	54713
256126	71846
80071	245902
80777	66427
23367	73158
23367	73158
9815	26431
8749	11497
8749	13524
116842	259301
55331	66190
95681	83922
124626	69376
51312	67712
5271	20725
55341	224092
6018	109263
6018	109263
122786	319710
63916	140579
1442	14599
716	317677
716	50908
139170	245404
139170	245403
29899	76123
25998	108837
84245	67873
153090	69601
219988	225929
29765	50874
2767	14682
2767	14672
254773	332427
7553	223669
7553	223669
130888	66153
387836	435921
3443	15965
3443	230396
3443	15969
3443	15968
3443	242517
3443	15970
3443	15964
3443	15972
3443	15967
3443	15962
3443	15974
3443	230398
3443	404549
3443	242519
57544	70561
23052	71946
